ean_13,DENOMINATION,Link
4894223237369,Table de séjour L.160 x l.85/90cm VATIRA acacia et noir,https://www.but.fr/produits/4894223237369/fiche.html
4894223237376,Table de séjour L.180 x l.85/90cm VATIRA acacia et noir,https://www.but.fr/produits/4894223237376/fiche.html
4894223237383,Table de séjour L.200 x l.95/100cm VATIRA acacia et noir,https://www.but.fr/produits/4894223237383/fiche.html
4894223237390,Table de séjour L.120 x l.75/80cm VATIRA acacia et noir,https://www.but.fr/produits/4894223237390/fiche.html
4894223237529,Table de séjour L.200cm BALA gris céramique,https://www.but.fr/produits/4894223237529/fiche.html
4894223240048,Table de séjour rabattable CLINTON imitation chêne,https://www.but.fr/produits/4894223240048/fiche.html
4894223242455,Table  L.160/200 + allonges MAXTON Verre / Imitation marbre,https://www.but.fr/produits/4894223242455/fiche.html
4894223242479,Table extensible  L.160/240 cm EVORA Céramique,https://www.but.fr/produits/4894223242479/fiche.html
4894223242493,Table L. 160/240 + allonges PORTO Noir et blanc,https://www.but.fr/produits/4894223242493/fiche.html
4894223242998,Table rabattable 1 porte MYLENA Bois massif,https://www.but.fr/produits/4894223242998/fiche.html
4894223243001,Table L. 160 cm ZACK imitation chêne,https://www.but.fr/produits/4894223243001/fiche.html
4894223243117,Table extensible L.90/115/140 BABETTE Imitation chêne / Noir,https://www.but.fr/produits/4894223243117/fiche.html
4894223243124,Table ronde OSAKA imitation chêne,https://www.but.fr/produits/4894223243124/fiche.html
4894223243155,Table pliable extensible jusqu'à 104.5cm DARA blanche,https://www.but.fr/produits/4894223243155/fiche.html
4894223243162,Table pliable DARA imitation chêne et blanc,https://www.but.fr/produits/4894223243162/fiche.html
4894223243179,Table pliable DARA imitation chêne et noir,https://www.but.fr/produits/4894223243179/fiche.html
4894223246606,Table MARYLOU Noir,https://www.but.fr/produits/4894223246606/fiche.html
4894223246965,Table extensible L. 180/240 cm BULLE Gris foncé,https://www.but.fr/produits/4894223246965/fiche.html
4894223247054,Table céramique AUXANE Blanc,https://www.but.fr/produits/4894223247054/fiche.html
4894223248211,Table céramique L. 160/240 EVORA allonges imitation travertin,https://www.but.fr/produits/4894223248211/fiche.html
4894223248884,Table L. 160/210 MADELEINE Imitation chêne / noir,https://www.but.fr/produits/4894223248884/fiche.html
4894223248914,Table L. 160 LAYLA Chêne,https://www.but.fr/produits/4894223248914/fiche.html
4894223249546,Table de séjour RAELA 180cm effet travertin,https://www.but.fr/produits/4894223249546/fiche.html
4894223249867,Table L. 180 cm BAYA Gris,https://www.but.fr/produits/4894223249867/fiche.html
5713941207463,Table L.220 cm HEAVEN plaquée chêne sauvage,https://www.but.fr/produits/5713941207463/fiche.html
5901730802658,Table extensible L. 160/200 cm ROMANCE imitation Pin/ imitation Chêne,https://www.but.fr/produits/5901730802658/fiche.html
5901730815825,Table extensible  L.180/220 cm ANVERS imitation chêne vieilli/ béton,https://www.but.fr/produits/5901730815825/fiche.html
5901730818352,Table extensible L. 160/200 cm ROMANCE Gris,https://www.but.fr/produits/5901730818352/fiche.html
5904767224127,Mange debout MAX Sable / Noir mat,https://www.but.fr/produits/5904767224127/fiche.html
5904767827205,Table à manger extensible 180-260 x 90 cm ALLISTER Imitation bois et noir,https://www.but.fr/produits/5904767827205/fiche.html
8435178336132,Table de séjour ARIEL 200cm couleur chêne,https://www.but.fr/produits/8435178336132/fiche.html
8435178348654,Table à manger SAKI L.160 cm effet travertin,https://www.but.fr/produits/8435178348654/fiche.html
8435178397744,Table de séjour ronde THER imitation chêne clair,https://www.but.fr/produits/8435178397744/fiche.html
8435178399298,Table de séjour D.120 cm ALEXIS Imitation chêne,https://www.but.fr/produits/8435178399298/fiche.html
8600608431095,"Table à manger L.132,5 cm DOMUS Imitation chêne et blanc",https://www.but.fr/produits/8600608431095/fiche.html
8605014170057,"Table à manger L.132,5 cm DOMUS Imitation chêne et noir",https://www.but.fr/produits/8605014170057/fiche.html
8605014760487,"Table à manger L.132,5 cm DOMUS Blanc et imitation bois noir",https://www.but.fr/produits/8605014760487/fiche.html
8605014803955,"Table à manger L.132,5 cm DOMUS Imitation béton et blanc",https://www.but.fr/produits/8605014803955/fiche.html
