,product_page_url,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,total_images_found
35,https://www.but.fr/produits/3760176249104/fiche.html,https://media.but.fr/images_produits/produit-zoom/3760176249104_Q.jpg,https://media.but.fr/images_produits/produit-zoom/3760176249104_F.jpg,https://media.but.fr/images_produits/produit-zoom/3760176249104_A.jpg,,,3
36,https://www.but.fr/produits/4038537074245/fiche.html,https://media.but.fr/images_produits/produit-zoom/4038537074245_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4038537074245_F.jpg,,,,2
37,https://www.but.fr/produits/4251182707690/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182707690_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182707690_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182707690_P.jpg,https://media.but.fr/images_produits/produit-zoom/4251182707690_A.jpg,https://media.but.fr/images_produits/produit-zoom/4251182707690_D.jpg,5
38,https://www.but.fr/produits/4251182711819/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182711819_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711819_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711819_P.jpg,,,3
39,https://www.but.fr/produits/4251182711826/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182711826_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711826_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711826_A.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711826_D.jpg,,4
40,https://www.but.fr/produits/4251182711840/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182711840_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711840_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711840_P.jpg,,,3
41,https://www.but.fr/produits/4251182711857/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182711857_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711857_A.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711857_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711857_D.jpg,,4
42,https://www.but.fr/produits/4251182711864/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182711864_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182711864_F.jpg,,,,2
43,https://www.but.fr/produits/4251182712786/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182712786_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182712786_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182712786_D.jpg,,,3
44,https://www.but.fr/produits/4251182713103/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182713103_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182713103_F.jpg,,,,2
45,https://www.but.fr/produits/4251182713110/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182713110_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182713110_F.jpg,,,,2
46,https://www.but.fr/produits/4251182713127/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182713127_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182713127_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182713127_D.jpg,https://media.but.fr/images_produits/produit-zoom/4251182713127_A.jpg,,4
47,https://www.but.fr/produits/4251182714995/fiche.html,https://media.but.fr/images_produits/produit-zoom/4251182714995_Q.jpg,https://media.but.fr/images_produits/produit-zoom/4251182714995_F.jpg,https://media.but.fr/images_produits/produit-zoom/4251182714995_D.jpg,,,3
